id,sin_type,trigger,response
19,Centipede,enter_palace,All roads slope slightly downward. The sky flickers like broken video. An NPC calls you by your name—but you never gave it. Your shadow crawls independently for the rest of the hunt.
20,Centipede,palace_pressure,"The buildings melt, not with heat, but grief. A scream plays backwards through a convenience store radio. A random exorcist feels bugs crawling beneath their fingernails for 30 seconds. There's nothing there."
21,Idol,event_1,"A stray dog barks in rhythm—like a verdict. The air smells of copper. NPCs seem afraid not of you, but of being near you. Someone confesses to a crime they didn’t commit—and dies hours later from “falling down the stairs.”"
22,Idol,event_2,"The exorcists pass a public display of missing persons posters. Every face is inverted. An ally says, “I think I used to know one of them,” and starts crying. Bloodstains appear under their boots."
23,Idol,event_3,An exorcist finds a message on their phone: “You are being watched. You are being found guilty.” It vanishes after one minute. They later recognize a victim’s face in a shop mirror—only no one else sees it.
24,Idol,enter_palace,The Lord’s name appears in graffiti near the alleyway: ASHVIRE WAS RIGHT. All clocks run backward. You hear the sound of a gavel crack in the distance—but no one reacts.
25,Idol,palace_pressure,A news broadcast suddenly cuts to a segment about “grudge killings” with zero context. A random NPC begins listing sins the exorcist committed in past loops—none of which they should know.
26,Lord,event_1,"A gas station sign displays fuel prices from 20 years ago. A child asks an exorcist, “Was everything better then?” and then walks backward, disappearing into a mist."
27,Lord,event_2,A character sees a funeral procession—but it’s theirs. A random NPC swears it’s “just a historical reenactment.” One exorcist dreams of a birthday party they never had. Everyone in attendance wears the Sin’s crown.
28,Lord,event_3,You pass a soldier with no name tag who salutes the exorcists. The salute feels… earned. A local law enforcement officer begins using archaic speech and calls one of the exorcists “Champion of the Trial.”
29,Lord,enter_palace,All paperwork inside buildings refers to a monarch. Children play with “Time Tokens” they claim were issued by the government. Everyone seems to recognize the exorcists as historical figures—but the dates don’t line up.
30,Lord,palace_pressure,Buildings rearrange themselves like chessboards. A new law is posted outside the Palace: “No dissent shall be tolerated beyond the veil.” One exorcist gains a temporary {chess piece} title—though they don’t remember earning it. They can only move and affect spaces allowed by their title.
31,spiral,fail_key_roll,"The walls nearby gain shallow carvings of the failed die roll. Hours later, the number reappears on the exorcist’s arm in ink. A bystander walks past murmuring “Better luck next time.”"
32,spiral,hook_full,That Hook’s word/phrase starts appearing in graffiti. The next event location smells like the memory tied to that Hook. One NPC whispers the Hook aloud—but claims they didn’t say anything.
33,spiral,injury,A medical scanner glitches. It identifies the exorcist’s wound as “nonexistent” despite the bleeding. A previously seen NPC now wears a bandage in the exact same spot. They won’t explain it.
34,spiral,bystander_death,People in the area begin walking in choreographed synchronicity for 30 seconds—then resume normal behavior. A child offers a gift: the exact item the bystander dropped when they died.
35,spiral,pressure_up,Time glitches: watches run backwards for 30 seconds. One exorcist’s voice is replaced by the Sin’s voice on a single sentence. A local newspaper updates retroactively with false front-page history.
36,spiral,sin_threat,"The sky dims despite the hour. Doors on buildings slam shut without wind. One NPC walks away, sobbing, saying, “That’s how it ends.” The exorcists are left staring at an object that wasn’t there before."
